country,country_code,continent,year,iwi,literacy,gov_edu_exp,secondary_enrol
Kazakhstan,KAZ,Asia/Pacific,1999,66.8,100.0,3.89257001876831,91.8715896606445
Kyrgyzstan,KGZ,Asia/Pacific,1999,58.3,99.0,4.0852198600769,80.8123092651367
Vietnam,VNM,Asia/Pacific,1999,41.1,90.0,,
Zambia,ZMB,Africa,1999,19.8,68.0,1.77495002746582,
Brazil,BRA,America,2000,70.9,86.0,3.94893002510071,
Cameroon,CMR,Africa,2000,24.2,68.0,1.70284998416901,27.9761600494385
Central African Republic CAR,CAF,Africa,2000,14.4,51.0,1.61265003681183,
Chad,TCD,Africa,2000,8.59,26.0,2.64670991897583,11.2949104309082
China,CHN,Asia/Pacific,2000,62.3,91.0,,59.2292213439941
Comoros,COM,Africa,2000,31.6,68.0,,
Cote d'Ivoire,CIV,Africa,2000,33.5,49.0,2.40031003952026,
Equatorial Guinea,GNQ,Africa,2000,29.9,88.0,,22.06955909729
Eswatini,SWZ,Africa,2000,39.5,82.0,5.50848007202148,43.5820083618164
Gambia,GMB,Africa,2000,37.6,37.0,1.46587002277374,
Ghana,GHA,Africa,2000,28.9,58.0,,31.1098403930664
Kenya,KEN,Africa,2000,20.5,82.0,5.1867299079895,40.3647918701172
Madagascar,MDG,Africa,2000,17.3,71.0,2.4386899471283,
Mauritania,MRT,Africa,2000,17.2,51.0,,17.5795001983643
Mexico,MEX,America,2000,68.6,91.0,3.80870008468628,71.1195831298828
Myanmar,MMR,Asia/Pacific,2000,46.8,90.0,,39.0274391174316
Philippines,PHL,Asia/Pacific,2000,55.2,93.0,3.16440010070801,
Rwanda,RWA,Africa,2000,7.26,65.0,3.43418002128601,9.51360034942627
Sudan,SDN,Africa,2000,24.2,61.0,1.01217997074127,
Tajikistan,TJK,Asia/Pacific,2000,51.1,99.0,2.32871007919312,71.8780975341797
Togo,TGO,Africa,2000,25.9,53.0,2.77644991874695,32.4820518493652
Uzbekistan,UZB,Asia/Pacific,2000,61.9,99.0,,85.3468933105469
Vietnam,VNM,Asia/Pacific,2000,43.2,90.0,,
Angola,AGO,Africa,2001,23.5,67.0,,14.4628095626831
Armenia,ARM,Asia/Pacific,2001,72.4,99.0,2.46943998336792,85.9923095703125
Bangladesh,BGD,Asia/Pacific,2001,19.3,47.0,2.17193007469177,50.3141403198242
Bolivia,BOL,America,2001,48.9,87.0,,75.7862701416016
India,IND,Asia/Pacific,2001,32.4,61.0,,48.0781288146973
Namibia,NAM,Africa,2001,37.5,85.0,6.88886976242065,67.6306381225586
Nicaragua,NIC,America,2001,44.7,77.0,,55.628791809082
Niger,NER,Africa,2001,11.7,14.0,2.27981996536255,6.11352014541626
Sao Tome & Principe,STP,Africa,2001,34.5,85.0,,
Venezuela,VEN,America,2001,73.7,93.0,,63.7311592102051
Algeria,DZA,Africa,2002,71.1,70.0,,72.8870697021484
Benin,BEN,Africa,2002,25.2,35.0,2.15949010848999,24.5954608917236
Chili,CHL,America,2002,85.2,96.0,4.04881000518799,89.4216384887695
Dominican Republic,DOM,America,2002,66.0,87.0,1.9140100479126,67.816276550293
Eritrea,ERI,Africa,2002,19.1,53.0,3.52390003204346,43.2223091125488
Georgia,GEO,Asia/Pacific,2002,64.3,100.0,2.23501992225647,88.5937194824219
Guatemala,GTM,America,2002,47.9,69.0,,35.411979675293
Iran,IRN,Asia/Pacific,2002,73.6,77.0,4.48487997055054,79.6945495605469
Mexico,MEX,America,2002,70.3,90.0,4.24307012557983,75.1482925415039
North Macedonia,MKD,Europe,2002,88.6,96.0,3.30014991760254,83.9654083251953
Senegal,SEN,Africa,2002,36.6,39.0,2.59441995620728,17.3591995239258
Syria,SYR,Asia/Pacific,2002,83.1,83.0,5.26984977722168,47.2403984069824
Tanzania,TZA,Africa,2002,20.2,69.0,,
Uganda,UGA,Africa,2002,12.5,68.0,,
Zambia,ZMB,Africa,2002,18.0,69.0,,
Botswana,BWA,Africa,2003,45.6,81.0,,74.746940612793
Burkina Faso,BFA,Africa,2003,18.9,22.0,,11.3447599411011
Guinea,GIN,Africa,2003,13.8,30.0,1.62612998485565,22.8109397888184
Haiti,HTI,America,2003,23.2,59.0,,
Jordan,JOR,Asia/Pacific,2003,87.9,90.0,,83.7643737792969
Mali,MLI,Africa,2003,17.3,24.0,3.80559992790222,20.3113403320312
Montenegro,MNE,Europe,2003,87.2,98.0,,91.9459609985352
Mozambique,MOZ,Africa,2003,15.2,48.0,,
Nigeria,NGA,Africa,2003,34.2,55.0,,
Philippines,PHL,Asia/Pacific,2003,58.2,93.0,2.93517994880676,82.6391525268555
Serbia,SRB,Europe,2003,85.3,96.0,,89.3317108154297
Brazil,BRA,America,2004,77.1,89.0,3.97447991371155,
